StudentID,Dropout,CohortTerm_x,RegistrationDate,Gender,BirthMonth,HSDip,HSDipYr,HSGPAUnwtd,HSGPAWtd,FirstGen,DualHSSummerEnroll,EnrollmentStatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,CumLoanAtEntry,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus,cohort term,Adjusted Gross Income,Parent Adjusted Gross Income,CohortTerm_y,Term,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA,Marital Status_Divorced,Marital Status_Married,Marital Status_Separated,Marital Status_Single,Father's Highest Grade Level_College,Father's Highest Grade Level_High School,Father's Highest Grade Level_Middle School,Father's Highest Grade Level_Unknown,Mother's Highest Grade Level_College,Mother's Highest Grade Level_High School,Mother's Highest Grade Level_Middle School,Mother's Highest Grade Level_Unknown,Housing_Off Campus,Housing_On Campus Housing,Housing_With Parent,Race
285848,0,1,20110808,2,9,1,-1,-1.0,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,1,116846.0,0.0,1,6,-2,-2,51.1699,-1.0,8,0,51.3899,-2,-1,6,3.9,3.66,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,6
302176,0,1,20110804,1,4,1,-1,-1.0,-1,-1,0,2,96.0,45.0,-1,0,0,0,0,0,1,2768.0,12373.0,1,6,-2,-2,51.3801,-1.0,8,0,51.3801,-2,-1,6,3.4,3.68,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,6
301803,0,1,20110809,2,4,1,-1,-1.0,-1,-1,0,2,0.0,0.0,-1,0,0,0,0,0,1,1528.0,0.0,1,6,-2,-2,51.1699,-1.0,8,0,51.3899,-2,-1,6,4.0,3.97,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,6
302756,0,1,20110823,2,1,-1,-1,-1.0,-1,-1,0,2,54.0,87.5,-1,0,0,0,0,0,1,2768.0,12373.0,1,3,-2,-2,45.0601,-1.0,7,0,45.0601,-2,-1,6,4.0,3.82,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,6
301067,0,1,20110420,1,4,1,-1,-1.0,-1,-1,0,2,70.0,66.0,-1,2,0,0,0,0,1,69036.0,0.0,1,6,-2,-2,23.0101,13.1001,0,0,-2.0,-2,-1,6,4.0,4.0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,6
297371,1,1,20110628,2,8,1,2010,3.5,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,0,1,0.0,0.0,1,3,-2,0,0.0,-1.0,0,0,-2.0,-2,-1,6,1.0,2.52,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,4
273211,1,1,20110810,2,8,1,-1,-1.0,-1,-1,0,2,62.0,66.0,-1,2,0,0,0,0,1,0.0,0.0,1,6,-2,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,3.7,3.34,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
302772,1,1,20110908,1,6,1,-1,-1.0,-1,-1,0,2,53.0,45.0,-1,0,0,0,0,0,1,2069.0,73993.0,1,6,-2,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,2.3,2.4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
280023,0,1,20110714,2,12,1,-1,-1.0,-1,-1,0,2,52.0,66.0,-1,0,0,0,0,0,1,10033.0,19467.0,1,6,-2,-2,45.1101,-1.0,0,0,-2.0,-2,-1,6,3.0,2.51,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
300412,1,1,20110607,2,2,1,2011,2.5,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,0,1,3602.0,65801.0,1,1,0,-2,0.0,-1.0,0,0,-2.0,-2,-1,6,2.56,2.56,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4
