StudentID,CohortTerm_x,RegistrationDate,Gender,BirthMonth,HSDip,HSDipYr,HSGPAUnwtd,HSGPAWtd,FirstGen,DualHSSummerEnroll,EnrollmentStatus,NumColCredAttemptTransfer,NumColCredAcceptTransfer,CumLoanAtEntry,HighDeg,MathPlacement,EngPlacement,GatewayMathStatus,GatewayEnglishStatus,cohort term,Adjusted Gross Income,Parent Adjusted Gross Income,CohortTerm_y,Term,CompleteDevMath,CompleteDevEnglish,Major1,Major2,Complete1,Complete2,CompleteCIP1,CompleteCIP2,TransferIntent,DegreeTypeSought,TermGPA,CumGPA,Marital Status_Divorced,Marital Status_Married,Marital Status_Separated,Marital Status_Single,Father's Highest Grade Level_College,Father's Highest Grade Level_High School,Father's Highest Grade Level_Middle School,Father's Highest Grade Level_Unknown,Mother's Highest Grade Level_College,Mother's Highest Grade Level_High School,Mother's Highest Grade Level_Middle School,Mother's Highest Grade Level_Unknown,Housing_Off Campus,Housing_On Campus Housing,Housing_With Parent,Race
344883,1,20150611,2,11,1,2015,2.62,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,15018.0,1,3,1,0,52.0201,-1.0,0,0,-2.0,-2,-1,6,2.38,1.86,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,4
298782,1,20110516,1,11,1,2011,3.6,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,0,1,0.0,43501.0,1,3,0,-2,0.0,-1.0,0,0,-2.0,-2,-1,6,3.43,3.35,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3
311983,1,20120522,1,10,1,2012,3.14,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,0,1,0.0,36132.0,1,6,-2,0,11.0101,-1.0,0,0,-2.0,-2,-1,6,0.0,2.38,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
346945,1,20150528,2,3,1,2015,3.96,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,137819.0,1,3,0,-2,26.0101,-1.0,0,0,-2.0,-2,-1,6,1.59,2.58,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,4
313391,1,20120611,1,11,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,1,0,0,1,1,0.0,15000.0,1,6,0,-2,23.0101,-1.0,0,0,-2.0,-2,-1,6,3.7,3.43,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,6
309235,1,20120628,1,8,1,2012,3.36,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,15000.0,1,1,0,1,43.0199,-1.0,0,0,-2.0,-2,-1,6,3.18,3.17,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
342061,1,20150401,2,1,1,2015,3.6,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,79644.0,1,3,0,0,26.0101,-1.0,0,0,-2.0,-2,-1,6,2.48,2.38,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,7
301476,1,20110829,2,12,1,2011,3.18,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,1,1,0.0,18215.0,1,6,0,0,0.0,-1.0,0,0,-2.0,-2,-1,6,3.35,3.23,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,4
325834,1,20140410,2,2,1,-1,-1.0,-1,-1,0,1,-2.0,-2.0,-2,0,0,1,1,0,1,319.0,23560.0,1,3,-2,0,27.0101,13.1202,0,0,-2.0,-2,-1,6,3.05,3.59,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1
342950,1,20150630,2,4,1,-1,1.8,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,0.0,13761.0,1,3,0,0,26.0101,-1.0,0,0,-2.0,-2,-1,6,1.91,1.83,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
326024,1,20140610,1,1,1,-1,2.62,-1,-1,0,1,-2.0,-2.0,-2,0,1,1,0,0,1,1667.0,58499.0,1,3,1,0,9.0101,-1.0,0,0,-2.0,-2,-1,6,3.18,3.28,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1
327486,1,20140612,2,10,1,-1,4.0,-1,-1,0,1,-2.0,-2.0,-2,0,0,0,1,0,1,0.0,101233.0,1,6,-2,-2,50.0701,-1.0,0,0,-2.0,-2,-1,6,0.0,3.82,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,6
